ticker,name,sector,cap_bucket,mcap_cr,price,high_52w,down_from_high_pct,pe,roce_min_observed,roce_avg,roce_years_available,sales_cagr_pct,de_ratio,fy_complete,fii_pct_unverified,passes,fail_reasons,notes,errors,ROCE_FY2021,ROCE_FY2022,ROCE_FY2023,ROCE_FY2024,ROCE_FY2025
PGEL.NS,PG Electroplast Limited,Semiconductor and Electronics Manufacturing,Mid,17248.5,602.0499877929688,644.4000244140625,6.57,83.39,14.42,16.09,3,51.09,0.14,3,26.18,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 83.39 above ceiling 40.0,,,,,18.23,15.63,14.42
CYIENTDLM.NS,Cyient DLM Limited,Semiconductor and Electronics Manufacturing,Small,5795.6,730.25,764.7999877929688,4.52,70.9,10.85,14.05,3,35.14,0.32,3,29.15,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 70.9 above ceiling 40.0,,,,,20.24,10.85,11.06
MOSCHIP.NS,MOSCHIP TECHNOLOGIES LTD,Semiconductor and Electronics Manufacturing,Small,4013.0,206.30999755859375,288.45001220703125,28.48,149.5,5.68,8.52,3,53.41,0.06,3,0.38,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 149.5 above ceiling 40.0,,,,,8.67,5.68,11.22
TATAELXSI.NS,Tata Elxsi Limited,Semiconductor and Electronics Manufacturing,Mid,22801.6,3660.0,5950.0,38.49,34.85,34.27,38.34,3,8.89,0.07,3,15.08,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,41.74,39.0,34.27
ELIN.NS,Elin Electronics Limited,Semiconductor and Electronics Manufacturing,Small,495.2,99.62000274658203,234.0,57.43,16.3,5.33,7.54,3,4.76,0.05,3,6.59,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),"P/E derived from latest FY EPS, not TTM",,,,8.89,5.33,8.41
OPTIEMUS.NS,Optiemus Infracom Limited,Semiconductor and Electronics Manufacturing,Small,4974.9,551.75,713.0,22.62,68.2,12.85,14.29,3,28.65,0.3,3,2.55,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 68.2 above ceiling 40.0,,,,,13.22,16.79,12.85
EPACK.NS,EPACK Durable Limited,Semiconductor and Electronics Manufacturing,Small,1954.0,203.05999755859375,409.5,50.41,35.31,8.53,12.11,3,20.36,0.44,3,5.11,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),"P/E derived from latest FY EPS, not TTM",,,,15.45,8.53,12.34
517035.BO,"517035.BO,0P0000AVPO,4567",Semiconductor and Electronics Manufacturing,Small,1359.2,166.10000610351562,388.1000061035156,57.2,171.64,9.81,12.56,3,22.62,0.19,3,,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 171.64 above ceiling 40.0,,,,,15.56,12.31,9.81
LT.NS,Larsen & Toubro Limited,Capital Goods and Industrial Manufacturing,Large,561491.0,4081.0,4440.0,8.09,33.89,12.05,13.99,3,18.29,1.36,3,52.69,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | debt/equity 1.36 above 1.0,,,,,12.05,14.75,15.16
SIEMENS.NS,Siemens Limited,Capital Goods and Industrial Manufacturing,Large,138174.8,3880.0,4097.89990234375,5.32,81.56,,,0,,,0,10.92,False,only 0 FY(s) of usable fundamentals (need 4) | ROCE computable for only 0 FY(s) (need 4) | P/E 81.56 above ceiling 40.0,,,,,,,
ABB.NS,ABB India Limited,Capital Goods and Industrial Manufacturing,Large,158486.3,7479.0,7924.5,5.62,100.66,27.66,30.37,3,19.26,0.01,3,13.54,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 100.66 above ceiling 40.0,,,,,27.66,27.91,35.53
CUMMINSIND.NS,Cummins India Limited,Capital Goods and Industrial Manufacturing,Large,144282.6,5205.0,6100.0,14.67,60.8,26.67,30.64,3,15.64,0.0,3,28.5,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 60.8 above ceiling 40.0,,,,,26.67,32.28,32.98
CARBORUNIV.NS,Carborundum Universal Limited,Capital Goods and Industrial Manufacturing,Mid,21671.9,1137.5999755859375,1306.9000244140625,12.95,102.58,12.26,16.79,3,2.5,0.05,3,38.78,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 102.58 above ceiling 40.0,,,,,18.92,19.19,12.26
THERMAX.NS,Thermax Limited,Capital Goods and Industrial Manufacturing,Mid,45442.5,4034.0,5277.7998046875,23.57,76.5,14.45,15.88,3,13.05,0.35,3,20.66,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 76.5 above ceiling 40.0,,,,,14.45,17.59,15.6
AIAENG.NS,AIA Engineering Limited,Capital Goods and Industrial Manufacturing,Mid,40665.3,4357.60009765625,5180.0,15.88,32.16,19.72,22.07,3,-6.66,0.07,3,34.72,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,24.01,22.48,19.72
GRINDWELL.NS,Grindwell Norton Limited,Capital Goods and Industrial Manufacturing,Mid,22800.6,2059.300048828125,2455.0,16.12,52.25,20.71,23.33,3,5.28,0.04,3,22.25,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 52.25 above ceiling 40.0,,,,,25.81,23.47,20.71
TIMKEN.NS,Timken India Limited,Capital Goods and Industrial Manufacturing,Mid,23891.7,3176.300048828125,3925.0,19.08,56.16,19.44,21.72,3,6.86,0.01,3,33.09,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 56.16 above ceiling 40.0,,,,,24.72,21.0,19.44
SKFINDIA.NS,SKF India Limited,Capital Goods and Industrial Manufacturing,Small,7918.5,1601.699951171875,5074.0,68.43,37.8,27.06,28.89,3,6.81,0.0,3,28.84,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,30.81,27.06,28.79
SCHAEFFLER.NS,Schaeffler India Limited,Capital Goods and Industrial Manufacturing,Large,63292.0,4049.300048828125,4467.7001953125,9.37,50.58,23.75,25.31,3,9.71,0.01,3,18.07,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 50.58 above ceiling 40.0,,,,,27.14,25.03,23.75
ELGIEQUIP.NS,Elgi Equipments Limited,Capital Goods and Industrial Manufacturing,Mid,19937.4,632.4500122070312,644.0,1.79,44.66,26.14,29.77,3,7.47,0.31,3,20.02,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 44.66 above ceiling 40.0,,,,,35.81,27.35,26.14
KIRLOSENG.NS,Kirloskar Oil Engines Limited,Capital Goods and Industrial Manufacturing,Mid,31288.2,2150.10009765625,2720.0,20.95,57.43,15.26,16.6,3,12.4,1.89,3,30.62,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 57.43 above ceiling 40.0 | debt/equity 1.89 above 1.0,,,,,15.26,19.03,15.51
KIRLOSBROS.NS,Kirloskar Brothers Limited,Capital Goods and Industrial Manufacturing,Mid,15232.2,1918.199951171875,2189.199951171875,12.38,40.79,20.56,23.72,3,9.75,0.09,3,12.81,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 40.79 above ceiling 40.0,,,,,20.56,25.78,24.81
TDPOWERSYS.NS,TD Power Systems Limited,Capital Goods and Industrial Manufacturing,Mid,23551.4,1507.5,1597.699951171875,5.65,85.56,21.22,23.65,3,21.63,0.01,3,38.76,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 85.56 above ceiling 40.0,,,,,21.22,22.81,26.92
BEML.NS,BEML Limited,Capital Goods and Industrial Manufacturing,Mid,16348.0,1962.800048828125,2275.75,13.75,91.55,10.14,11.16,3,2.89,0.11,3,22.4,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 91.55 above ceiling 40.0,,,,,10.14,11.89,11.44
GMMPFAUDLR.NS,GMM Pfaudler Limited,Capital Goods and Industrial Manufacturing,Small,4577.5,1018.2000122070312,1307.5,22.13,64.81,8.52,13.79,3,0.55,0.83,3,19.96,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 64.81 above ceiling 40.0,,,,,16.53,16.31,8.52
KSB.NS,KSB Limited,Capital Goods and Industrial Manufacturing,Small,13966.6,802.5,1028.300048828125,21.96,56.83,21.13,21.28,3,18.05,0.0,3,14.05,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 56.83 above ceiling 40.0,,,,,21.13,21.17,21.55
TRITURBINE.NS,Triveni Turbine Limited,Capital Goods and Industrial Manufacturing,Mid,18439.7,580.0499877929688,787.5999755859375,26.35,54.72,32.96,36.05,3,26.98,0.03,3,28.69,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 54.72 above ceiling 40.0,,,,,32.96,36.58,38.61
ESABINDIA.NS,ESAB India Limited,Capital Goods and Industrial Manufacturing,Small,9472.9,6154.0,7319.5,15.92,42.75,63.69,67.11,3,12.2,0.01,3,13.57,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 42.75 above ceiling 40.0,,,,,67.54,70.09,63.69
POWERINDIA.NS,Hitachi Energy India Limited,Capital Goods and Industrial Manufacturing,Large,149362.0,33510.0,38785.0,13.6,130.45,13.08,15.18,3,19.83,0.02,3,10.12,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 130.45 above ceiling 40.0,,,,,13.52,18.94,13.08
BHEL.NS,Bharat Heavy Electricals Limited,Capital Goods and Industrial Manufacturing,Large,143983.3,413.5,446.5,7.39,58.99,2.89,3.45,3,11.16,0.36,3,23.79,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 58.99 above ceiling 40.0,,,,,3.7,2.89,3.75
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare and Medical Devices,Large,125595.9,8735.0,9050.0,3.48,60.14,13.13,14.42,3,14.41,0.66,3,50.11,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 60.14 above ceiling 40.0,,,,,13.13,14.81,15.31
FORTIS.NS,Fortis Healthcare Limited,Healthcare and Medical Devices,Large,69214.6,916.7999877929688,1104.300048828125,16.98,66.19,8.38,9.18,3,11.5,0.28,3,50.18,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 66.19 above ceiling 40.0,,,,,8.38,9.55,9.61
MAXHEALTH.NS,Max Healthcare Institute Limited,Healthcare and Medical Devices,Large,97123.3,997.9000244140625,1256.0,20.55,66.7,11.6,12.41,3,24.07,0.32,3,61.41,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 66.7 above ceiling 40.0,,,,,12.53,13.11,11.6
NH.NS,Narayana Hrudayalaya Limited,Healthcare and Medical Devices,Mid,36543.8,1799.300048828125,2093.300048828125,14.04,44.58,17.82,21.8,3,10.3,0.67,3,12.95,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 44.58 above ceiling 40.0,,,,,25.85,21.73,17.82
KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare and Medical Devices,Mid,31611.0,790.0,858.0,7.93,154.0,13.2,15.84,3,17.71,1.2,3,41.49,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 154.0 above ceiling 40.0 | debt/equity 1.2 above 1.0,,,,,19.44,14.88,13.2
ASTERDM.NS,Aster DM Quality Care Limited,Healthcare and Medical Devices,Large,66739.6,765.6500244140625,891.2999877929688,14.1,124.29,2.74,6.2,3,18.41,0.59,3,20.25,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 124.29 above ceiling 40.0,,,,,2.74,5.48,10.39
