Company name,Financial Year,Model,Value,Estimated?,Method
Godawari Power and Ispat Limited,2024,(LightGBM) Intrinsic Value,872.71,no,directly computed from reported figures
Godawari Power and Ispat Limited,2023,Market Price,327.54,no,directly computed from reported figures
Godawari Power and Ispat Limited,2023,(DCF) Intrinsic Value,136.05,no,directly computed from reported figures
Godawari Power and Ispat Limited,2023,(P/E Relative Valuation) Intrinsic Value,460.05,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,326.17,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2023,(XGBoost) Intrinsic Value,354.48,no,directly computed from reported figures
Godawari Power and Ispat Limited,2023,(Random Forest) Intrinsic Value,409.2,no,directly computed from reported figures
Godawari Power and Ispat Limited,2023,(LightGBM) Intrinsic Value,366.08,no,directly computed from reported figures
Godawari Power and Ispat Limited,2022,Market Price,302.12,no,directly computed from reported figures
Godawari Power and Ispat Limited,2022,(DCF) Intrinsic Value,118.5,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Godawari Power and Ispat Limited,2022,(P/E Relative Valuation) Intrinsic Value,544.0,YES,sector median including self (too few peers); eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Godawari Power and Ispat Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,335.21,YES,sector median including self (too few peers); ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Godawari Power and Ispat Limited,2022,(XGBoost) Intrinsic Value,868.53,no,directly computed from reported figures
Godawari Power and Ispat Limited,2022,(Random Forest) Intrinsic Value,591.75,no,directly computed from reported figures
Godawari Power and Ispat Limited,2022,(LightGBM) Intrinsic Value,749.72,no,directly computed from reported figures
Godawari Power and Ispat Limited,2021,Market Price,82.75,no,directly computed from reported figures
Godawari Power and Ispat Limited,2021,(DCF) Intrinsic Value,158.28,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Godawari Power and Ispat Limited,2021,(P/E Relative Valuation) Intrinsic Value,293.42,YES,sector median including self (too few peers); eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Godawari Power and Ispat Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,159.49,YES,sector median including self (too few peers); ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
